resource_id,avg_cpu,avg_network_in,avg_network_out,monthly_cost,resource_label
res-normal-0091,85.87,12853.6,12593.3,62.1,normal
res-normal-0092,69.47,42442.2,77657.8,342.19,normal
res-normal-0093,50.02,89938.3,76490.7,149.86,normal
res-normal-0094,51.85,32129.6,16603.6,90.94,normal
res-normal-0095,86.17,44352.5,38948.7,370.25,normal
res-normal-0096,63.18,93677.9,78249.8,250.1,normal
res-normal-0097,52.58,98676.5,72058.3,476.57,normal
res-normal-0098,37.11,85202.8,64070.3,78.52,normal
res-normal-0099,65.3,68923.5,2218.0,238.07,normal
res-normal-0100,79.52,30240.5,46396.3,232.31,normal
res-normal-0101,48.12,91925.7,78348.1,73.08,normal
res-normal-0102,89.82,88040.8,29106.9,421.71,normal
res-normal-0103,36.39,99911.4,66902.8,332.06,normal
res-normal-0104,35.43,89806.3,3871.0,135.6,normal
res-normal-0105,38.58,77900.0,20622.2,457.11,normal
res-normal-0106,69.38,4580.1,1537.6,44.8,normal
res-normal-0107,66.36,80346.7,24616.7,427.72,normal
res-normal-0108,33.43,80295.4,92851.7,390.61,normal
res-normal-0109,71.89,83960.0,4975.0,116.86,normal
res-normal-0110,37.5,50948.6,74773.6,322.41,normal
res-normal-0111,81.07,16366.1,73727.5,112.66,normal
res-normal-0112,46.25,71280.6,98040.3,313.54,normal
res-normal-0113,33.27,62014.6,5192.7,444.39,normal
res-normal-0114,72.57,18139.7,10080.4,108.1,normal
res-normal-0115,88.8,46397.5,78624.0,325.48,normal
res-normal-0116,64.34,15367.9,94656.4,164.64,normal
res-normal-0117,64.68,70277.8,65274.1,471.49,normal
res-normal-0118,38.91,51326.9,40999.4,247.6,normal
res-normal-0119,37.15,14275.4,28529.5,166.26,normal
res-normal-0120,55.67,61487.8,63828.3,217.67,normal
res-normal-0121,54.53,22545.2,59242.3,172.18,normal
res-normal-0122,32.16,42421.6,47939.1,128.28,normal
res-normal-0123,64.35,57011.4,70498.2,331.02,normal
res-normal-0124,69.15,32305.2,78955.8,283.59,normal
res-normal-0125,55.89,62975.2,36705.1,266.11,normal
res-normal-0126,74.2,88753.9,92184.7,261.74,normal
res-normal-0127,61.22,80187.2,32130.6,421.94,normal
res-normal-0128,59.65,12469.8,8133.9,424.16,normal
res-normal-0129,33.33,28780.5,34078.9,103.04,normal
res-normal-0130,48.83,74526.6,2453.6,417.04,normal
res-normal-0131,81.39,37853.9,16207.7,308.4,normal
res-normal-0132,37.18,37127.0,95884.5,497.82,normal
res-normal-0133,76.33,31785.2,69078.8,358.6,normal
res-normal-0134,53.27,64448.0,2062.0,120.35,normal
res-normal-0135,61.51,17211.4,17424.8,421.43,normal
res-normal-0136,89.35,56041.0,84067.9,495.35,normal
res-normal-0137,38.5,45376.3,39864.7,58.42,normal
res-normal-0138,75.32,43944.1,47463.4,92.32,normal
res-normal-0139,40.86,90803.3,5420.3,131.77,normal
res-normal-0140,47.52,49529.6,59058.1,256.78,normal
res-normal-0141,35.05,25123.1,84515.3,326.04,normal
res-normal-0142,68.95,67350.1,76527.4,47.89,normal
res-normal-0143,52.0,54413.2,34507.2,425.35,normal
res-normal-0144,58.95,77094.1,85349.5,262.3,normal
res-normal-0145,84.57,59125.3,85177.2,183.48,normal
res-normal-0146,59.93,53609.7,11393.0,211.31,normal
res-normal-0147,85.04,63452.4,18573.2,182.65,normal
res-normal-0148,41.5,3457.5,92818.6,235.14,normal
res-normal-0149,48.45,60249.2,1724.1,153.45,normal
res-normal-0150,72.18,63743.2,98198.8,317.77,normal
res-normal-0151,58.65,76381.8,90429.5,365.93,normal
res-normal-0152,87.79,78418.5,86813.3,74.77,normal
res-normal-0153,73.94,44568.8,55757.3,333.97,normal
res-normal-0154,88.19,98473.2,29534.6,372.2,normal
res-normal-0155,75.0,35302.8,13263.1,39.65,normal
res-normal-0156,76.64,49480.3,98568.5,243.19,normal
res-normal-0157,88.68,41746.0,79574.5,60.71,normal
res-normal-0158,63.33,80403.9,92545.5,414.84,normal
res-normal-0159,32.22,37897.5,5821.1,72.46,normal
res-normal-0160,70.52,71612.6,77598.3,435.42,normal
res-normal-0161,74.37,80286.3,5847.4,132.58,normal
res-normal-0162,67.31,85954.4,1445.5,267.02,normal
res-normal-0163,70.64,3931.1,40734.2,449.9,normal
res-normal-0164,70.3,24528.2,85425.3,187.06,normal
res-normal-0165,81.2,30595.4,59441.7,210.53,normal
res-normal-0166,46.49,88769.2,19571.8,60.71,normal
res-normal-0167,50.52,72046.3,80935.7,499.4,normal
res-normal-0168,47.78,41386.3,14545.3,295.94,normal
res-normal-0169,89.85,70387.2,59926.1,208.34,normal
res-normal-0170,84.92,50194.7,14302.3,195.38,normal
res-normal-0171,34.03,20995.9,2749.2,237.57,normal
res-normal-0172,68.07,34986.0,42617.8,480.42,normal
res-normal-0173,75.12,54544.8,29169.5,450.56,normal
res-normal-0174,44.11,33208.9,90997.4,274.18,normal
res-normal-0175,74.54,59483.7,65690.5,163.7,normal
res-normal-0176,44.48,32926.7,16388.7,439.67,normal
res-normal-0177,46.99,56587.5,79405.5,396.24,normal
res-normal-0178,56.3,48149.5,99475.5,343.81,normal
res-normal-0179,78.88,90352.8,78971.4,108.89,normal
res-normal-0180,63.73,11087.5,65639.3,478.57,normal
res-normal-0181,60.76,43864.3,4548.4,480.69,normal
res-normal-0182,36.18,5066.8,25360.6,51.45,normal
res-normal-0183,57.31,52092.7,31944.4,44.46,normal
res-normal-0184,36.7,39065.9,6992.3,355.13,normal
res-normal-0185,42.42,30905.1,40018.5,219.97,normal
res-normal-0186,30.1,12095.0,86413.7,20.59,normal
res-normal-0187,60.49,49460.7,33976.3,227.04,normal
res-normal-0188,76.83,84279.2,26774.5,174.8,normal
res-normal-0189,44.55,48506.5,68642.6,129.56,normal
res-normal-0190,49.84,93108.1,5808.4,241.17,normal
res-normal-0191,72.69,15894.9,5690.0,86.34,normal
res-normal-0192,85.13,1916.7,19643.9,35.02,normal
res-normal-0193,36.64,62394.8,24922.3,293.22,normal
res-normal-0194,65.41,85094.1,1469.4,429.62,normal
res-normal-0195,67.15,17111.6,77520.8,430.64,normal
res-normal-0196,45.26,91960.6,45991.3,309.64,normal
res-normal-0197,89.08,36792.1,81502.8,172.83,normal
res-normal-0198,77.95,60472.7,22419.2,218.73,normal
res-normal-0199,49.06,8732.7,3953.6,186.31,normal
res-normal-0200,31.14,17383.3,72793.1,359.88,normal
res-normal-0201,74.31,32398.2,89111.9,305.04,normal
res-normal-0202,37.56,15228.1,69616.4,103.01,normal
res-normal-0203,60.44,99185.7,1396.8,27.96,normal
res-normal-0204,89.59,58879.2,13564.1,450.71,normal
res-normal-0205,82.82,54083.8,62557.4,151.13,normal
res-normal-0206,33.03,59862.2,30180.8,338.54,normal
res-normal-0207,80.17,2797.9,59975.7,131.01,normal
res-normal-0208,82.43,26112.8,61466.2,285.7,normal
res-normal-0209,53.77,68084.5,72851.2,292.13,normal
res-normal-0210,75.51,98358.3,42508.0,267.0,normal
res-normal-0211,30.75,79806.8,52502.8,215.82,normal
res-normal-0212,35.64,89076.0,40105.7,347.64,normal
res-normal-0213,38.96,96193.4,18665.7,115.78,normal
res-normal-0214,81.54,91345.7,22002.6,245.5,normal
res-normal-0215,74.01,87958.2,38526.2,268.17,normal
res-normal-0216,74.5,73382.5,78513.1,293.57,normal
res-normal-0217,36.28,90493.4,86691.7,403.09,normal
res-normal-0218,35.99,21235.3,74616.4,31.11,normal
res-normal-0219,88.75,38337.3,72211.9,446.03,normal
res-normal-0220,53.68,32594.1,61265.4,298.87,normal
res-normal-0221,54.55,60575.7,93602.8,244.47,normal
res-normal-0222,41.8,38343.4,40016.6,82.93,normal
res-normal-0223,39.77,68771.6,34608.3,478.35,normal
res-normal-0224,44.62,10793.5,75597.0,442.9,normal
res-normal-0225,46.69,21006.7,19390.8,270.57,normal
res-normal-0226,58.1,26684.5,5472.1,251.12,normal
res-normal-0227,87.56,65599.4,50055.1,73.13,normal
res-normal-0228,45.15,30182.6,76715.6,440.82,normal
res-normal-0229,84.1,98472.3,98254.3,477.44,normal
res-normal-0230,34.31,14641.6,31142.2,285.39,normal
res-normal-0231,35.82,84733.9,62058.9,280.33,normal
res-normal-0232,39.92,26072.3,16870.9,428.93,normal
res-normal-0233,65.05,73777.8,30307.3,198.2,normal
res-normal-0234,54.29,76241.5,77462.9,119.27,normal
res-normal-0235,86.49,12944.9,89716.1,68.19,normal
res-normal-0236,45.87,84801.4,18769.7,218.51,normal
res-normal-0237,56.99,25280.6,71314.3,428.64,normal
res-normal-0238,82.47,34592.9,53554.2,139.24,normal
res-normal-0239,44.69,16964.2,94061.9,446.23,normal
res-normal-0240,76.64,52248.5,49570.2,274.28,normal
res-normal-0241,62.19,44021.7,14043.7,80.32,normal
res-normal-0242,87.13,48721.0,95367.3,98.52,normal
res-normal-0243,63.26,21564.0,26065.3,34.43,normal
res-normal-0244,37.14,91768.0,32831.8,311.9,normal
res-normal-0245,57.9,40644.7,53656.7,109.87,normal
res-normal-0246,89.32,82012.5,74419.8,245.0,normal
res-normal-0247,39.17,92145.9,34797.3,44.05,normal
res-normal-0248,50.54,79651.2,62648.2,380.4,normal
res-normal-0249,77.62,21983.5,92454.5,230.24,normal
res-normal-0250,68.34,1228.6,99343.5,154.83,normal
res-normal-0251,33.72,46367.9,13774.0,93.12,normal
res-normal-0252,67.94,39899.8,92263.4,173.2,normal
res-normal-0253,73.57,46648.8,66335.2,307.85,normal
res-normal-0254,58.37,95056.0,34928.7,105.07,normal
res-normal-0255,70.69,84754.7,4985.1,235.82,normal
res-normal-0256,83.55,75212.2,99189.0,275.08,normal
res-normal-0257,69.6,30945.5,94806.0,195.84,normal
res-normal-0258,74.31,40910.9,56620.1,365.5,normal
res-normal-0259,60.54,90801.5,42510.8,330.59,normal
res-normal-0260,50.54,41407.5,44565.0,80.39,normal
res-normal-0261,35.5,67081.5,65896.3,338.2,normal
res-normal-0262,31.19,33328.1,20583.2,393.51,normal
res-normal-0263,81.64,25421.4,67117.1,82.09,normal
res-normal-0264,46.51,14726.8,29068.6,343.87,normal
res-normal-0265,84.62,21049.7,54665.8,356.67,normal
res-normal-0266,87.18,61396.0,26255.6,320.23,normal
res-normal-0267,49.23,97636.7,40567.9,349.01,normal
res-normal-0268,31.39,40606.1,87635.7,312.91,normal
res-normal-0269,56.64,93657.8,85544.5,174.66,normal
res-normal-0270,62.67,49492.6,63588.0,180.37,normal
res-normal-0271,44.65,91354.5,92463.6,424.79,normal
res-normal-0272,88.69,74754.2,76702.1,386.04,normal
res-normal-0273,58.84,46188.8,24782.4,329.51,normal
res-normal-0274,47.36,26523.0,59010.2,216.79,normal
res-normal-0275,43.13,81789.5,86196.4,100.5,normal
res-normal-0276,30.45,34276.9,79953.6,422.8,normal
res-normal-0277,38.3,77659.3,12454.7,207.23,normal
res-normal-0278,89.92,20066.5,16242.4,222.94,normal
res-normal-0279,67.18,93357.2,98101.3,53.43,normal
res-normal-0280,38.28,79283.1,27792.6,444.73,normal
res-normal-0281,69.81,12072.6,83420.4,104.65,normal
res-normal-0282,55.41,55666.3,50575.8,349.36,normal
res-normal-0283,69.16,99212.2,99942.8,267.9,normal
res-normal-0284,35.71,73056.5,97689.7,172.8,normal
res-normal-0285,57.67,43052.9,6090.5,342.69,normal
res-normal-0286,51.2,78958.9,83379.9,414.19,normal
res-normal-0287,55.0,32833.0,75133.3,404.67,normal
res-normal-0288,59.48,89410.1,15247.0,441.95,normal
res-normal-0289,35.77,16199.0,53850.2,52.41,normal
res-normal-0290,33.17,1051.4,44195.3,391.82,normal
res-normal-0291,32.09,65573.5,82489.6,100.64,normal
res-normal-0292,38.81,86219.3,82489.3,278.69,normal
res-normal-0293,79.15,10182.9,40053.7,374.14,normal
res-normal-0294,45.45,75480.6,50913.7,380.13,normal
res-normal-0295,57.88,37422.5,22699.7,120.02,normal
res-normal-0296,75.09,12772.1,9512.3,104.62,normal
res-normal-0297,40.52,82487.7,40452.2,495.39,normal
res-normal-0298,38.23,65700.4,45424.2,208.6,normal
res-normal-0299,82.51,97584.0,87413.0,112.3,normal
res-normal-0300,43.25,65951.3,29619.3,372.67,normal
res-normal-0301,63.99,55540.0,83026.1,361.06,normal
res-normal-0302,31.59,5896.5,60554.3,253.37,normal
res-normal-0303,45.61,42447.0,76033.1,416.77,normal
res-normal-0304,63.67,39151.6,27799.0,270.52,normal
res-normal-0305,48.88,56845.4,67988.6,51.72,normal
res-normal-0306,30.06,22015.4,89556.6,330.22,normal
res-normal-0307,40.32,89136.1,47525.6,248.52,normal
res-normal-0308,86.13,6889.2,22302.6,301.17,normal
res-normal-0309,41.73,68273.2,22195.1,67.6,normal
res-normal-0310,42.42,42850.7,18437.7,84.65,normal
res-normal-0311,81.62,32719.3,36715.1,46.53,normal
res-normal-0312,51.44,27215.9,61438.0,118.59,normal
res-normal-0313,83.3,93037.0,10883.3,71.55,normal
res-normal-0314,36.92,62337.4,13074.9,429.14,normal
res-normal-0315,75.26,82161.1,53080.0,498.41,normal
res-normal-0316,32.65,40725.2,33069.7,475.35,normal
res-normal-0317,64.61,80812.9,17863.8,489.74,normal
res-normal-0318,59.92,49873.5,97117.6,202.75,normal
res-normal-0319,53.85,58890.5,13677.2,174.12,normal
res-normal-0320,41.59,11225.1,86748.3,302.88,normal
res-normal-0321,51.52,41458.3,43720.4,323.91,normal
res-normal-0322,85.61,93345.2,39757.7,178.05,normal
res-normal-0323,57.06,57225.5,46720.0,336.2,normal
res-normal-0324,63.26,32750.8,35227.3,201.72,normal
res-normal-0325,35.68,17440.2,72588.3,206.77,normal
res-normal-0326,42.87,56704.6,75798.4,143.56,normal
res-normal-0327,79.61,92823.0,60142.1,341.09,normal
res-normal-0328,33.15,94606.5,39856.0,463.47,normal
res-normal-0329,64.74,1457.3,4815.7,346.6,normal
res-normal-0330,63.76,3626.7,74602.5,429.03,normal
res-normal-0331,59.79,47110.0,1541.8,397.59,normal
res-normal-0332,49.84,87997.6,37933.0,291.24,normal
res-normal-0333,46.22,16898.2,77715.9,258.36,normal
res-normal-0334,62.19,96576.2,96394.4,430.71,normal
res-normal-0335,41.26,59833.0,87936.6,199.74,normal
res-normal-0336,36.07,81285.3,48694.6,290.91,normal
res-normal-0337,88.93,61113.9,43073.0,197.59,normal
res-normal-0338,55.06,12721.5,79680.3,422.1,normal
res-normal-0339,47.06,31075.9,87559.1,31.51,normal
res-normal-0340,61.23,46903.9,69322.6,98.43,normal
res-normal-0341,70.1,38296.7,62252.8,39.25,normal
res-normal-0342,57.7,52702.8,22218.3,87.02,normal
res-normal-0343,41.31,35070.0,10584.2,474.71,normal
res-normal-0344,54.3,81088.0,97467.3,58.75,normal
res-normal-0345,69.1,87269.5,63789.2,225.93,normal
res-normal-0346,55.86,4554.0,53925.5,496.9,normal
res-normal-0347,87.52,4999.5,70873.9,164.85,normal
res-normal-0348,84.18,5466.4,93651.5,421.99,normal
res-normal-0349,37.05,6922.6,83636.1,94.76,normal
res-normal-0350,62.09,91658.7,57177.4,210.67,normal
res-normal-0351,56.7,7248.6,96906.5,169.11,normal
res-normal-0352,41.36,29318.7,96472.9,65.26,normal
res-normal-0353,82.04,71076.5,83171.9,488.43,normal
res-normal-0354,80.53,94394.9,13566.6,401.98,normal
res-normal-0355,62.74,54806.1,89993.2,486.47,normal
res-normal-0356,72.29,48810.9,46184.0,205.44,normal
res-normal-0357,51.7,39759.2,9885.6,57.17,normal
res-normal-0358,76.79,45161.2,93137.8,313.87,normal
res-normal-0359,32.11,16594.8,21376.2,488.35,normal
res-normal-0360,43.12,52059.8,93681.5,489.05,normal
res-normal-0361,44.18,5862.6,16206.6,50.4,normal
res-normal-0362,41.71,57288.4,91332.4,277.87,normal
res-normal-0363,67.56,20984.9,80257.8,316.54,normal
res-normal-0364,81.85,94935.5,35442.2,63.48,normal
res-normal-0365,43.56,44346.3,94623.7,201.59,normal
res-normal-0366,76.25,54507.2,19098.1,173.95,normal
res-normal-0367,69.19,67612.5,44041.2,129.75,normal
res-normal-0368,73.31,17718.4,93730.3,110.19,normal
res-normal-0369,36.44,50267.1,52435.4,263.93,normal
res-normal-0370,56.2,99486.7,49141.8,249.41,normal
res-normal-0371,55.31,7615.7,59702.7,129.42,normal
res-normal-0372,68.26,6032.5,98157.3,245.12,normal
res-normal-0373,83.81,48080.6,6972.8,414.66,normal
res-normal-0374,68.89,78393.9,43388.8,326.21,normal
res-normal-0375,81.37,63475.5,35419.7,338.01,normal
res-normal-0376,70.31,96098.1,37720.3,224.04,normal
res-normal-0377,78.73,51070.5,73920.7,240.66,normal
res-normal-0378,42.93,74775.2,13984.4,115.32,normal
res-normal-0379,67.61,74979.7,89574.1,150.84,normal
res-normal-0380,36.64,95648.6,16287.9,114.88,normal
res-normal-0381,47.48,53409.7,88399.7,385.06,normal
res-normal-0382,72.49,18342.9,36410.6,249.63,normal
res-normal-0383,38.85,28069.5,31525.0,81.09,normal
res-normal-0384,63.01,70797.8,7923.2,250.94,normal
res-normal-0385,76.93,75051.0,81692.2,235.16,normal
res-normal-0386,79.23,24834.6,36720.2,104.65,normal
res-normal-0387,58.05,39813.9,24851.8,380.85,normal
res-normal-0388,48.83,28007.6,13958.1,230.63,normal
res-normal-0389,48.18,37558.0,24363.7,386.31,normal
res-normal-0390,85.8,50295.3,64656.8,436.24,normal
res-normal-0391,89.93,61738.1,89088.2,456.13,normal
res-normal-0392,77.49,46632.2,9034.2,27.59,normal
res-normal-0393,58.63,49937.1,41328.9,292.72,normal
res-normal-0394,63.13,83824.7,11757.1,128.09,normal
res-normal-0395,77.58,84935.8,99487.6,439.0,normal
res-normal-0396,83.39,32120.4,40764.5,148.68,normal
res-normal-0397,66.38,93941.7,35119.4,287.36,normal
res-normal-0398,47.78,17810.2,20323.4,47.81,normal
res-normal-0399,86.96,40885.1,83578.0,347.04,normal
res-normal-0400,41.52,18370.8,81386.8,147.06,normal
res-normal-0401,84.8,14865.5,68093.2,410.95,normal
res-normal-0402,44.12,28344.5,96487.4,147.01,normal
res-normal-0403,55.8,43819.0,26050.4,392.38,normal
res-normal-0404,76.31,38453.5,83677.5,122.28,normal
res-normal-0405,30.26,57545.6,99413.7,38.55,normal
res-normal-0406,42.48,52372.5,81184.1,62.74,normal
res-normal-0407,53.71,74960.5,37782.8,110.64,normal
res-normal-0408,41.73,41594.8,48462.3,433.67,normal
res-normal-0409,68.54,69349.8,98315.7,217.68,normal
res-normal-0410,54.2,92411.3,25341.7,370.31,normal
res-normal-0411,75.27,10681.0,47354.9,116.27,normal
res-normal-0412,41.12,46919.0,29653.5,402.11,normal
res-normal-0413,84.46,80469.3,27337.1,151.58,normal
res-normal-0414,45.28,14368.8,94436.0,212.98,normal
res-normal-0415,43.48,84820.4,40520.3,36.86,normal
res-normal-0416,39.72,64285.8,78507.6,121.25,normal
res-normal-0417,85.04,85248.7,84989.7,129.28,normal
res-normal-0418,33.03,86874.9,31274.2,317.08,normal
res-normal-0419,75.6,13701.0,78303.0,470.49,normal
res-normal-0420,73.7,44681.1,87791.1,273.18,normal
res-normal-0421,74.69,82230.1,75185.9,158.17,normal
res-normal-0422,37.07,24595.5,50784.6,262.53,normal
res-normal-0423,64.96,40115.1,78902.2,458.31,normal
res-normal-0424,44.8,73915.8,68119.2,271.08,normal
res-normal-0425,41.31,79728.0,96102.0,366.48,normal
res-normal-0426,85.07,98434.3,35853.0,326.35,normal
res-normal-0427,58.44,98676.2,10287.0,217.94,normal
res-normal-0428,82.53,29121.1,78991.5,203.74,normal
res-normal-0429,88.8,88469.5,30830.7,389.69,normal
res-normal-0430,50.21,61029.9,66189.6,418.21,normal
res-normal-0431,31.47,22795.6,71479.9,290.49,normal
res-normal-0432,59.74,6465.8,35479.3,435.25,normal
res-normal-0433,31.85,40247.2,94569.7,44.42,normal
res-normal-0434,74.98,26503.6,86794.3,378.11,normal
res-normal-0435,83.14,22376.6,53598.0,394.05,normal
res-normal-0436,44.74,23843.9,3691.0,480.09,normal
res-normal-0437,72.6,63920.5,74655.5,275.17,normal
res-normal-0438,58.57,45503.7,64403.5,116.74,normal
res-normal-0439,83.28,81363.5,35606.8,297.73,normal
res-normal-0440,38.46,97262.3,90386.4,462.51,normal
res-normal-0441,49.93,17744.3,21965.4,63.2,normal
res-normal-0442,37.21,8059.1,98992.5,55.55,normal
res-normal-0443,37.95,82898.2,58443.8,391.72,normal
res-normal-0444,67.85,88335.3,64208.3,270.62,normal
res-normal-0445,72.76,45291.9,35260.3,244.47,normal
res-normal-0446,40.18,79860.6,26809.7,93.7,normal
res-normal-0447,44.78,84364.9,33689.9,349.3,normal
res-normal-0448,81.38,8696.7,76737.4,167.68,normal
res-normal-0449,43.0,69201.2,91069.9,161.61,normal
res-normal-0450,64.13,29693.6,55874.3,318.49,normal
res-normal-0451,66.62,62731.1,14372.9,352.9,normal
res-normal-0452,70.49,68576.2,8333.0,234.48,normal
res-normal-0453,54.54,9584.4,23014.4,231.66,normal
res-normal-0454,74.57,24469.1,83145.2,281.98,normal
res-normal-0455,75.63,47783.0,50420.2,317.47,normal
res-normal-0456,85.68,49689.4,53337.1,308.96,normal
res-normal-0457,74.25,8113.2,52053.1,251.16,normal
res-normal-0458,85.3,49857.2,47363.7,481.86,normal
res-normal-0459,57.03,18907.6,22474.7,65.69,normal
res-normal-0460,30.03,43762.6,77155.0,372.06,normal
res-normal-0461,31.93,57428.3,16274.0,471.72,normal
res-normal-0462,40.04,63037.3,33297.6,327.95,normal
res-normal-0463,54.74,76204.7,23837.2,454.78,normal
res-normal-0464,60.01,75853.2,85123.3,499.44,normal
res-normal-0465,43.44,29402.3,25792.9,146.18,normal
res-normal-0466,64.95,99358.7,99037.5,272.85,normal
res-normal-0467,68.34,86137.1,93360.4,117.85,normal
res-normal-0468,61.71,83450.9,31017.0,231.11,normal
res-normal-0469,89.14,98519.6,90704.6,403.26,normal
res-normal-0470,46.15,32764.2,55181.0,289.17,normal
res-normal-0471,60.33,64030.4,41424.0,379.6,normal
res-normal-0472,50.01,33737.0,13595.4,110.58,normal
res-normal-0473,81.03,45182.0,23558.9,384.48,normal
res-normal-0474,63.24,3094.4,32319.8,104.96,normal
res-normal-0475,69.35,28228.1,7429.7,46.37,normal
res-normal-0476,64.9,3150.6,85030.4,94.59,normal
res-normal-0477,66.39,45024.1,44842.3,54.46,normal
res-normal-0478,78.17,89412.2,2090.7,105.73,normal
res-normal-0479,84.23,55399.9,15853.9,117.34,normal
res-normal-0480,69.6,72756.9,60343.3,477.51,normal
